"newstitle","newspapername"
"'호날두가 왜? 멍청한 결정' UEFA 올해의 선수 후보 선정에 팬들 반발","스타뉴스"
"                                     윤경식 기자= 유럽축구연맹(UEFA) 올해의 선수 후보에 크리스티아누 호날두가 선정된 것에 대해 팬들이 비판의 목소리를 높였다. UEFA는 지난 15일(한국시간..                                ","노컷뉴스"
"황교안 ""文대통령, '겁먹은 개' 소리 들으면서 北에 굴종적""","연합뉴스"
"                                     황교안 자유한국당 대표는 16일 ""문재인 대통령은 (북한으로부터) '겁먹은 개'라는 소리를 들으면서도 왜 이렇게 굴종적 모습을 보이는가""라고 비판했다. 황 대표..                                ","뉴시스"
"한일갈등 국면 국제법 학자 이장희 ""일제 강점 36년, 불법 아니었다는 전제로..""","파이낸셜뉴스"
"                                     □ 방송일시 : 2019년 8월 16일 (금요일) □ 출연자 : 이장희 한국외대 법학전문대학원 명예교수 * 아래 텍스트는 실제 방송 내용과 차이가 있을 수 있으..                                ","연합뉴스"
"가족 3교대 24시간 근무..'주 52시간'이 뭔가요","OSEN"
"                                     #서울 마포구 합정동에서 편의점을 운영하는 김명호(63ㆍ가명)씨의 주당 근무시간은 70시간을 훌쩍 넘긴다. 은퇴 후 시작한 편의점 영업, 밤 9시부터 시작해 다..                                ","연합뉴스"
"'뽕따러가세' 식기는커녕 더 뜨거워지는 송가인 신드롬의 실체","연합뉴스"
"                                    ‘뽕따러가세’ 한과 흥 넘나들며 어디든 노래방으로 만드는 송가인 [엔터미디어=정덕현의 네모난 세상] “송가인이어라-”라는 말 한 마디에 길거리에선 환호가 터져 나..                                ","스포티비뉴스"
